['PID', 'PNAME', 'AGE', 'FRIENDS']
[168, 'Person-168', 50, 111]
[169, 'Person-169', 23, 34]
[170, 'Person-170', 42, 45]
[171, 'Person-171', 60, 103]
[172, 'Person-172', 30, 180]
[173, 'Person-173', 39, 97]
[174, 'Person-174', 25, 287]
[175, 'Person-175', 43, 33]
[176, 'Person-176', 28, 141]
[177, 'Person-177', 58, 16]
[178, 'Person-178', 49, 90]
[179, 'Person-179', 30, 223]
[180, 'Person-180', 28, 195]
[181, 'Person-181', 54, 284]
[182, 'Person-182', 22, 77]
[183, 'Person-183', 49, 207]
[184, 'Person-184', 46, 33]
[185, 'Person-185', 57, 213]
[186, 'Person-186', 48, 90]
[187, 'Person-187', 29, 249]
[188, 'Person-188', 42, 290]
[189, 'Person-189', 39, 193]
[190, 'Person-190', 38, 98]
[191, 'Person-191', 47, 261]
[192, 'Person-192', 47, 129]
[193, 'Person-193', 60, 68]
[194, 'Person-194', 58, 93]
[195, 'Person-195', 60, 183]
[196, 'Person-196', 36, 121]
[197, 'Person-197', 54, 54]
[198, 'Person-198', 42, 111]
[199, 'Person-199', 20, 223]
[200, 'Person-200', 34, 120]
[201, 'Person-201', 43, 64]
[202, 'Person-202', 38, 226]
[203, 'Person-203', 56, 80]
[204, 'Person-204', 33, 73]
[205, 'Person-205', 42, 143]
[206, 'Person-206', 28, 278]
[207, 'Person-207', 24, 98]
[208, 'Person-208', 23, 96]
[209, 'Person-209', 26, 207]
[210, 'Person-210', 50, 280]
[211, 'Person-211', 26, 125]
[212, 'Person-212', 27, 284]
[213, 'Person-213', 27, 156]
[214, 'Person-214', 20, 10]
[215, 'Person-215', 40, 287]
[216, 'Person-216', 52, 37]
[217, 'Person-217', 42, 293]
[218, 'Person-218', 56, 84]
[219, 'Person-219', 30, 82]
[220, 'Person-220', 57, 130]
[221, 'Person-221', 33, 237]
[222, 'Person-222', 41, 242]
[223, 'Person-223', 28, 276]
[224, 'Person-224', 26, 208]
[225, 'Person-225', 48, 298]
[226, 'Person-226', 35, 234]
[227, 'Person-227', 39, 23]
[228, 'Person-228', 42, 58]
[229, 'Person-229', 35, 91]
[230, 'Person-230', 45, 90]
[231, 'Person-231', 23, 68]
[232, 'Person-232', 34, 134]
[233, 'Person-233', 38, 235]
[234, 'Person-234', 20, 178]
[235, 'Person-235', 44, 16]
[236, 'Person-236', 39, 285]
[237, 'Person-237', 33, 173]
[238, 'Person-238', 59, 114]
[239, 'Person-239', 47, 123]
[240, 'Person-240', 41, 152]
[241, 'Person-241', 54, 68]
[242, 'Person-242', 56, 32]
[243, 'Person-243', 46, 53]
[244, 'Person-244', 40, 218]
[245, 'Person-245', 39, 246]
[246, 'Person-246', 40, 165]
[247, 'Person-247', 20, 184]
[248, 'Person-248', 38, 140]
[249, 'Person-249', 56, 37]
[250, 'Person-250', 60, 234]
[251, 'Person-251', 50, 59]
[252, 'Person-252', 58, 180]
[253, 'Person-253', 41, 233]
[254, 'Person-254', 57, 224]
[255, 'Person-255', 42, 270]
[256, 'Person-256', 60, 232]
[257, 'Person-257', 46, 193]
[258, 'Person-258', 55, 295]
[259, 'Person-259', 30, 252]
[260, 'Person-260', 42, 199]
[261, 'Person-261', 49, 203]
[262, 'Person-262', 30, 85]
[263, 'Person-263', 55, 295]
[264, 'Person-264', 38, 193]
[265, 'Person-265', 25, 61]
[266, 'Person-266', 55, 260]
[267, 'Person-267', 36, 6]
[268, 'Person-268', 26, 134]
[269, 'Person-269', 35, 222]
[270, 'Person-270', 60, 15]
[271, 'Person-271', 30, 297]
[272, 'Person-272', 32, 28]
[273, 'Person-273', 36, 160]
[274, 'Person-274', 37, 256]
[275, 'Person-275', 56, 87]
[276, 'Person-276', 47, 273]
[277, 'Person-277', 43, 146]
[278, 'Person-278', 55, 136]
[279, 'Person-279', 32, 31]
[280, 'Person-280', 55, 241]
[281, 'Person-281', 25, 119]
[282, 'Person-282', 48, 299]
[283, 'Person-283', 51, 163]
[284, 'Person-284', 24, 21]
[285, 'Person-285', 57, 234]
[286, 'Person-286', 26, 77]
[287, 'Person-287', 56, 286]
[288, 'Person-288', 46, 272]
[289, 'Person-289', 57, 108]
[290, 'Person-290', 46, 138]
[291, 'Person-291', 58, 271]
[292, 'Person-292', 25, 95]
[293, 'Person-293', 56, 299]
[294, 'Person-294', 34, 195]
[295, 'Person-295', 50, 192]
[296, 'Person-296', 48, 7]
[297, 'Person-297', 33, 99]
[298, 'Person-298', 23, 128]
[299, 'Person-299', 41, 37]
[300, 'Person-300', 28, 184]
[301, 'Person-301', 42, 94]
[302, 'Person-302', 36, 244]
[303, 'Person-303', 20, 248]
[304, 'Person-304', 25, 282]
[305, 'Person-305', 42, 5]
[306, 'Person-306', 56, 230]
[307, 'Person-307', 40, 298]
[308, 'Person-308', 57, 163]
[309, 'Person-309', 49, 44]
[310, 'Person-310', 22, 110]
[311, 'Person-311', 26, 13]
[312, 'Person-312', 45, 296]
[313, 'Person-313', 36, 241]
[314, 'Person-314', 28, 268]
[315, 'Person-315', 50, 238]
[316, 'Person-316', 27, 61]
[317, 'Person-317', 21, 121]
[318, 'Person-318', 30, 229]
[319, 'Person-319', 30, 37]
[320, 'Person-320', 28, 107]
[321, 'Person-321', 40, 50]
[322, 'Person-322', 25, 108]
[323, 'Person-323', 58, 174]
[324, 'Person-324', 44, 7]
[325, 'Person-325', 33, 130]
[326, 'Person-326', 23, 37]
[327, 'Person-327', 55, 153]
[328, 'Person-328', 54, 263]
[329, 'Person-329', 45, 214]
[330, 'Person-330', 35, 144]
[331, 'Person-331', 32, 12]
[332, 'Person-332', 43, 132]
[333, 'Person-333', 51, 25]
[334, 'Person-334', 26, 96]
[335, 'Person-335', 52, 282]
[336, 'Person-336', 48, 291]
[337, 'Person-337', 29, 105]
[338, 'Person-338', 25, 258]
[339, 'Person-339', 41, 124]
[340, 'Person-340', 26, 117]
[341, 'Person-341', 26, 210]
[342, 'Person-342', 26, 117]
[343, 'Person-343', 39, 21]
[344, 'Person-344', 53, 51]
[345, 'Person-345', 45, 41]
[346, 'Person-346', 56, 136]
[347, 'Person-347', 54, 158]
[348, 'Person-348', 55, 48]
[349, 'Person-349', 38, 287]
[350, 'Person-350', 25, 128]
[351, 'Person-351', 42, 139]
[352, 'Person-352', 42, 177]
[353, 'Person-353', 43, 226]
[354, 'Person-354', 57, 112]
[355, 'Person-355', 38, 167]
[356, 'Person-356', 59, 91]
[357, 'Person-357', 55, 178]
[358, 'Person-358', 24, 148]
[359, 'Person-359', 41, 176]
[360, 'Person-360', 49, 268]
[361, 'Person-361', 46, 91]
[362, 'Person-362', 43, 140]
[363, 'Person-363', 37, 94]
[364, 'Person-364', 36, 8]
[365, 'Person-365', 49, 282]
[366, 'Person-366', 22, 49]
[367, 'Person-367', 52, 190]
[368, 'Person-368', 35, 213]
[369, 'Person-369', 60, 124]
[370, 'Person-370', 21, 15]
[371, 'Person-371', 43, 299]
[372, 'Person-372', 55, 158]
[373, 'Person-373', 31, 93]
[374, 'Person-374', 60, 82]
[375, 'Person-375', 58, 134]
[376, 'Person-376', 60, 195]
[377, 'Person-377', 51, 291]
[378, 'Person-378', 50, 175]
[379, 'Person-379', 56, 154]
[380, 'Person-380', 51, 104]
[381, 'Person-381', 42, 58]
[382, 'Person-382', 21, 129]
[383, 'Person-383', 31, 141]
[384, 'Person-384', 44, 193]
[385, 'Person-385', 42, 237]
[386, 'Person-386', 29, 81]
[387, 'Person-387', 21, 49]
[388, 'Person-388', 58, 39]
[389, 'Person-389', 44, 38]
[390, 'Person-390', 52, 247]
[391, 'Person-391', 36, 168]
[392, 'Person-392', 60, 126]
[393, 'Person-393', 23, 169]
[394, 'Person-394', 45, 103]
[395, 'Person-395', 51, 270]
[396, 'Person-396', 21, 121]
[397, 'Person-397', 34, 150]
[398, 'Person-398', 41, 172]
[399, 'Person-399', 48, 298]
[400, 'Person-400', 28, 61]
[401, 'Person-401', 36, 82]
[402, 'Person-402', 22, 73]
[403, 'Person-403', 26, 49]
[404, 'Person-404', 30, 279]
[405, 'Person-405', 41, 126]
[406, 'Person-406', 45, 256]
[407, 'Person-407', 33, 156]
[408, 'Person-408', 20, 300]
[409, 'Person-409', 55, 42]
[410, 'Person-410', 50, 186]
[411, 'Person-411', 57, 145]
[412, 'Person-412', 41, 47]
[413, 'Person-413', 34, 223]
[414, 'Person-414', 38, 284]
[415, 'Person-415', 39, 45]
[416, 'Person-416', 45, 25]
[417, 'Person-417', 51, 298]
[418, 'Person-418', 32, 19]
[419, 'Person-419', 41, 150]
[420, 'Person-420', 56, 198]
[421, 'Person-421', 37, 186]
[422, 'Person-422', 32, 254]
[423, 'Person-423', 54, 188]
[424, 'Person-424', 46, 120]
[425, 'Person-425', 55, 154]
[426, 'Person-426', 49, 166]
[427, 'Person-427', 22, 193]
[428, 'Person-428', 22, 265]
[429, 'Person-429', 60, 197]
[430, 'Person-430', 37, 16]
[431, 'Person-431', 60, 245]
[432, 'Person-432', 45, 23]
[433, 'Person-433', 47, 91]
[434, 'Person-434', 22, 161]
[435, 'Person-435', 38, 205]
[436, 'Person-436', 51, 163]
[437, 'Person-437', 48, 137]
[438, 'Person-438', 23, 215]
[439, 'Person-439', 59, 109]
[440, 'Person-440', 57, 143]
[441, 'Person-441', 30, 228]
[442, 'Person-442', 50, 17]
[443, 'Person-443', 42, 56]
[444, 'Person-444', 21, 57]
[445, 'Person-445', 34, 231]
[446, 'Person-446', 50, 265]
[447, 'Person-447', 50, 203]
[448, 'Person-448', 41, 162]
[449, 'Person-449', 53, 157]
[450, 'Person-450', 20, 58]
[451, 'Person-451', 41, 267]
[452, 'Person-452', 54, 43]
[453, 'Person-453', 41, 182]
[454, 'Person-454', 42, 105]
[455, 'Person-455', 20, 263]
[456, 'Person-456', 53, 128]
[457, 'Person-457', 23, 167]
[458, 'Person-458', 58, 263]
[459, 'Person-459', 26, 30]
[460, 'Person-460', 34, 76]
[461, 'Person-461', 23, 131]
[462, 'Person-462', 33, 157]
[463, 'Person-463', 52, 132]
[464, 'Person-464', 40, 41]
[465, 'Person-465', 56, 178]
[466, 'Person-466', 58, 20]
[467, 'Person-467', 51, 203]
[468, 'Person-468', 24, 150]
[469, 'Person-469', 21, 125]
[470, 'Person-470', 24, 34]
[471, 'Person-471', 57, 265]
[472, 'Person-472', 57, 167]
[473, 'Person-473', 52, 217]
[474, 'Person-474', 21, 280]
[475, 'Person-475', 39, 16]
[476, 'Person-476', 42, 133]
[477, 'Person-477', 53, 32]
[478, 'Person-478', 25, 262]
[479, 'Person-479', 43, 168]
[480, 'Person-480', 25, 100]
[481, 'Person-481', 49, 34]
[482, 'Person-482', 56, 137]
[483, 'Person-483', 51, 247]
[484, 'Person-484', 41, 274]
[485, 'Person-485', 43, 106]
[486, 'Person-486', 48, 217]
[487, 'Person-487', 47, 108]
[488, 'Person-488', 41, 248]
[489, 'Person-489', 37, 82]
[490, 'Person-490', 60, 258]
[491, 'Person-491', 56, 229]
[492, 'Person-492', 21, 146]
[493, 'Person-493', 28, 282]
[494, 'Person-494', 30, 281]
[495, 'Person-495', 38, 227]
[496, 'Person-496', 28, 167]
[497, 'Person-497', 28, 60]
[498, 'Person-498', 33, 206]
[499, 'Person-499', 45, 10]
